assessment_id,timestamp,name,email,sql_score,python_score,pandas_score,data_visualization_score,applied_statistics_score,machine_learning_score,ab_testing_score,total_score,total_possible,success_rate_pct,qualification_status
20260726_002451_aa4794,2026-07-25T18:54:51Z,Ritam Sur,ritamrs095@gmail.com,2,3,0,0,0,3,3,21,70,30.0,Needs Improvement
20260726_003133_87d2bd,2026-07-25T19:01:33Z,Ritam Sur,,2,1,0,1,3,1,2,21,70,30.0,Needs Improvement
20260726_005636_586e01,2026-07-25T19:26:36Z,Alice Helman,ritamrs095@gmail.com,3,1,0,0,0,2,4,16,70,22.9,Needs Improvement
20260726_010150_99ac44,2026-07-25T19:31:50Z,Alice Helman,ritamrs095@gmail.com,1,1,0,0,0,2,3,10,70,14.3,Needs Improvement
20260726_021130_e071cd,2026-07-25T20:41:30Z,Julie Anderson,ritamrs095@gmail.com,2,1,0,0,0,1,3,11,70,15.7,Needs Improvement
20260726_023748_303bc3,2026-07-25T21:07:48Z,Bob bb,,3,1,0,1,0,3,3,23,70,32.9,Needs Improvement
20260726_025214_2151bb,2026-07-25T21:22:14Z,Shtht sg,,3,2,0,1,1,4,4,32,70,45.7,Needs Improvement
20260726_205819_787e3d,2026-07-26T15:28:19Z,Alex Johnson,ritamrs095@gmail.com,4,1,0,1,0,1,2,14,70,20.0,Needs Improvement
20260809_160525_8c511c,2026-08-09T10:35:25Z,Mary Rod,,3,2,0,0,1,2,1,18,70,25.7,Needs Improvement
20260809_170002_b58840,2026-08-09T11:30:02Z,Phase2 Validation User,p2test@prepvector.com,10,10,9,10,9,10,10,68,70,97.1,Qualified
20260809_170703_b5d3db,2026-08-09T11:37:03Z,Erika sdf,,4,0,0,1,2,1,3,21,70,30.0,Needs Improvement
20260809_203618_6dc864,2026-08-09T15:06:18Z,Jeff Gonzalez,ritamrs095@gmail.com,3,1,1,0,3,1,2,27,70,38.6,Needs Improvement
